Year,Development_Status,"Population, total","Population, female","Population, male","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),GDP growth (annual %),Urban population growth (annual %),"Fertility rate, total (births per woman)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
1994,0,72879931.5,37054139.625,35825791.875,13.1125,8.525,2096782944715.3052,7.321125,81.769125,39.90507385536337,36.93737430035068,4.552602884927029,1.1130369342280608,1.6916875,3.5198211531019488,28.495368238173825,67.98481188032247
1994,1,188925125.5882353,93101561.47058824,95823564.11764705,26.941882352941178,8.569647058823529,206552800911.0791,5.929176470588236,45.08929411764706,22.642671030866772,24.886121329700163,4.367990423140406,3.1162311865558614,3.492176470588235,44.76324038488514,18.14237015340546,37.09442265866082
1994,2,20722484.333333332,10483664.0,10238820.333333334,32.330999999999996,11.335666666666668,4704789148.6385765,2.2333333333333334,24.742333333333335,32.28131744183824,39.895782842149316,-6.031827196761263,4.171422247479667,4.171333333333333,70.80427179997059,8.873707226190566,20.322011973883303
1995,0,73439019.125,37319457.625,36119561.5,12.775,8.6375,2296174258369.926,6.73825,81.8875,42.30635586813011,39.34911748347057,3.266772915602644,1.1173929404118166,1.665,3.3656110712934364,28.161139672285714,68.47324813250879
1995,1,191851504.2352941,94530076.29411764,97321427.94117647,26.324823529411763,8.376999999999999,228110406948.19897,6.102176470588235,45.42982352941176,24.267765559824227,26.169834199319205,4.693319710030798,2.765531211353503,3.3998823529411766,43.99389653095905,18.27273114304039,37.73339602309647
1995,2,21199478.0,10735870.333333334,10463607.666666666,31.26533333333333,11.542,5280550445.150214,2.4346666666666668,25.055666666666667,35.29084734184497,43.998248726193445,5.669848675101363,4.800148278060344,4.029333333333333,70.0155205861593,9.140230385919418,20.844249027921233
1996,0,74000193.0,37583213.75,36416979.25,12.6,8.525,2279807508994.607,6.7985,82.00637499999999,42.17933903055745,38.948049382005614,3.3058481310038927,1.2590023551531295,1.659,3.2295662645555034,27.699190158332815,69.07123726815976
1996,1,194756958.82352942,95948927.11764705,98808031.70588236,25.753,8.193764705882353,249465597283.80432,6.091352941176471,45.76764705882353,24.191668294784776,26.83218217168012,5.855293720726351,2.7223000571461955,3.312411764705882,43.11208643919098,18.608130703322367,38.27978318975928
1996,2,21704830.0,10999739.0,10705091.0,30.50333333333333,11.671,6061133012.128627,2.628,25.372666666666664,32.64869883367104,41.40961946574181,7.566972573377473,4.84229316660603,3.9153333333333333,68.98040427809504,9.528503120010713,21.49109432286903
1997,0,74559467.375,37853867.375,36705600.0,12.3375,8.4125,2276712271883.713,6.33425,82.137875,42.04483037370605,39.209871229171284,3.985740874227819,1.1333690523485496,1.642375,3.18097145823323,27.592383207761912,69.22664996799904
1997,1,197661382.94117647,97366021.58823529,100295361.35294117,25.28564705882353,7.983176470588235,263482875532.8534,6.186352941176471,46.11917647058823,25.125585617998258,27.306617700236746,4.640553521534154,2.784543234426011,3.2434705882352937,42.667630352514905,18.603400170915847,38.72896829512746
1997,2,22216535.666666668,11266191.666666666,10950344.0,29.841333333333335,11.706666666666665,5565091161.43927,2.779,25.691999999999997,35.888075040632465,44.80641698976121,4.1129327402486835,4.689210531145626,3.8056666666666668,68.11535376291384,9.89263089462836,21.992015342457766
1998,0,75097815.625,38108173.0,36989642.625,12.0125,8.3625,2294864339156.04,6.123125,82.268125,41.82048358368366,38.53196170728609,2.1753764202650925,1.0855513504417413,1.621375,3.094463241370708,27.294104462242164,69.61143903456758
1998,1,200553391.88235295,98774497.29411764,101778894.58823529,24.71464705882353,7.852470588235294,250421214338.83997,6.435294117647059,46.4814705882353,26.994475669885215,28.437635011154864,1.0697606245994724,2.7878649909844855,3.1724705882352944,42.18398539461536,18.299025241701546,39.516989933754104
1998,2,22636754.333333332,11481869.333333334,11154885.0,29.19066666666667,11.787,5327285113.98828,2.6253333333333333,25.985666666666663,37.0277492113278,44.66467819345761,4.47768568457604,3.6220108536429567,3.686666666666667,67.59514811382253,10.163289810999807,22.241560417004496
1999,0,75618472.625,38347246.375,37271226.25,11.7875,8.3875,2437637139927.0625,6.03025,82.396625,43.33957618301659,40.52897321390481,3.5621624684559645,0.761930583811654,1.6115625,3.007155160304037,26.954156734167036,70.03868764774997
1999,1,203374164.3529412,100149058.41176471,103225105.94117647,24.099588235294117,7.781294117647059,245672992851.12778,6.696294117647059,46.84894117647059,27.183773307506918,27.21614888146511,4.38792924291605,2.7712229994085655,3.0943529411764708,42.10190714815173,18.25618408822391,39.64188408586781
1999,2,22945637.666666668,11637801.666666666,11307836.0,29.04133333333333,12.04,6287362792.71326,2.4933333333333336,26.22,38.1349276047244,43.87951087027474,7.610896695550797,2.34791058557619,3.5853333333333333,67.28291927261593,10.540909803503437,22.1761629818038
2000,0,76148933.5,38596750.25,37552183.25,11.8375,8.2375,2534111030244.8535,5.4385,82.516875,46.66572244959106,44.27051033653314,4.485435106841101,0.8945574616339979,1.634,2.9136889429248622,26.451093369809637,70.63521639344006
2000,1,206079852.11764705,101470422.29411764,104609429.8235294,23.612,7.771,238577138680.51596,6.469411764705883,47.24182352941176,29.485728675961518,28.40759891724193,5.435135117202363,2.633990372092044,3.0391176470588235,41.679041611746136,18.37544968822909,39.94551033218811
2000,2,23215077.333333332,11775975.333333334,11439102.0,28.71366666666667,12.022999999999998,6429730914.302207,2.3816666666666664,26.456333333333333,41.30555723622667,47.16387742403811,6.893440376627506,2.0504611935556034,3.5103333333333335,66.88523715649016,11.070646164019683,22.044122869792364
2001,0,76672488.0,38846304.0,37826184.0,11.3875,8.175,2493266991676.8853,5.51375,82.775625,46.06298412892175,42.77268844018365,1.1662920459597474,1.2299264772401939,1.5961875,2.776162744144772,25.84821934485295,71.37561190303904
2001,1,208724563.11764705,102766766.58823529,105957796.52941176,23.340235294117647,7.695352941176471,245848668062.5897,6.379058823529412,47.65929411764706,28.432509442400335,28.76735160506982,3.230300870948714,2.6645787656986126,2.998294117647059,40.64602380741684,18.400433550633338,40.95356150922072
2001,2,23467174.666666668,11905555.666666666,11561619.0,28.621,12.552666666666667,5800280452.7190275,2.262,26.69366666666667,40.86356825836621,46.007558728358845,6.724441038811009,1.9337287244098367,3.4629999999999996,65.54646836543874,11.922774376494866,22.530770581261933
2002,0,77166932.125,39088064.5,38078867.625,11.225,8.2375,2553474921598.09,6.0815,83.104625,45.778054502063696,42.201000501844184,1.8335615164951313,1.060425216882718,1.5845625,2.615997553140966,25.323258033667436,72.06074315503164
